TimeStamp,Alpha_TP9,Alpha_FP1,Alpha_FP2,Alpha_TP10,Beta_TP9,Beta_FP1,Beta_FP2,Beta_TP10,Delta_TP9,Delta_FP1,Delta_FP2,Delta_TP10,Gamma_TP9,Gamma_FP1,Gamma_FP2,Gamma_TP10,Theta_TP9,Theta_FP1,Theta_FP2,Theta_TP10,Mellow,Concentration,RAW_TP9,RAW_FP1,RAW_FP2,RAW_TP10
2016-05-10 18:16:59,-0.10285668,-0.37739936,-0.3725302,-0.46573862,-0.08501302,-0.5234218,-0.52352726,0.010246229,0.59614825,0.14279382,0.3712178,0.6064798,-0.28024685,-0.90782154,-0.7926537,-0.2386727,-0.49429035,-0.3539434,-0.0152784325,-0.24187204,-1.0,-0.0387259,799.46045,789.5906,786.3006,725.43634
2016-05-10 18:17:00,-0.10285668,0.083892345,-0.3725302,-0.46573862,-0.08501302,-0.19191733,-0.60418564,0.010246229,0.59614825,0.83880436,0.2492734,0.6064798,-0.28024685,-0.5623902,-0.83151615,-0.2386727,-0.49429035,0.11210927,0.18526353,-0.24187204,-1.0,-0.010669902,799.46045,819.2002,827.4251,738.5962
2016-05-10 18:17:01,-0.10285668,-0.25029647,-0.08518277,-0.46573862,-0.08501302,-0.2852452,-0.44881833,0.010246229,0.59614825,0.62006325,0.15169191,0.6064798,-0.28024685,-0.39076126,-0.38203272,-0.2386727,-0.49429035,-0.070642315,0.37946683,-0.24187204,-1.0,-0.010669902,755.04596,802.7504,797.8155,784.65564
2016-05-10 18:17:02,-0.10285668,-0.47334915,-0.25369346,-0.46573862,-0.08501302,-0.2385034,-0.4798065,0.010246229,0.59614825,0.43544132,0.04276304,0.6064798,-0.28024685,-0.4252574,-0.4890815,-0.2386727,-0.49429035,-0.19390708,0.063751265,-0.24187204,-1.0,-0.010669902,827.4251,829.07007,789.5906,792.88055
2016-05-10 18:17:03,-0.10285668,-0.34107694,-0.54612976,-0.46573862,-0.08501302,-0.13328932,-0.42474556,0.010246229,0.59614825,-0.023456844,-0.181878,0.6064798,-0.28024685,-0.35513952,-0.40532207,-0.2386727,-0.49429035,-0.4318647,-0.42572695,-0.24187204,-1.0,-0.010669902,781.36566,810.9753,794.5255,753.401
2016-05-10 18:17:04,-0.10285668,-0.48284358,-0.26146364,-0.10087002,-0.08501302,-0.20013738,-0.23896083,0.11749164,0.59614825,-0.41065156,-0.1929869,0.8206468,-0.28024685,-0.45183957,-0.44509724,0.10226534,-0.49429035,-0.64639807,-0.22170323,0.014301919,-1.0,0.21233304,786.3006,809.3303,799.46045,783.0106
2016-05-10 18:17:05,-0.10285668,-0.65375733,-0.39935708,-0.10087002,-0.08501302,-0.46081084,-0.51275593,0.11749164,0.59614825,-0.32883093,0.043511085,0.8206468,-0.28024685,-0.65290797,-0.57638013,0.10226534,-0.49429035,-0.8112206,-0.47868827,0.014301919,-1.0,0.44613305,759.9809,810.9753,804.3954,830.7151
2016-05-10 18:17:06,-0.10285668,-0.6329473,-0.8010386,-0.10087002,-0.08501302,-0.40174627,-0.5454703,0.11749164,0.59614825,-0.43806624,-2.717828E-4,0.8206468,-0.28024685,-0.4604145,-0.61153716,0.10226534,-0.49429035,-0.9322457,-0.4310956,0.014301919,-1.0,0.44613305,819.2002,822.4902,802.7504,778.0757
2016-05-10 18:17:07,-0.10285668,-0.49353927,-0.77910507,-0.10087002,-0.08501302,-0.3749421,-0.6201833,0.11749164,0.59614825,-0.20430757,-0.1717622,0.8206468,-0.28024685,-0.57549614,-0.6874674,0.10226534,-0.49429035,-0.76009184,-0.7737043,0.014301919,-1.0,0.44613305,908.0292,817.55524,822.4902,840.58496
2016-05-10 18:17:08,-0.10285668,-0.3899013,-0.24422635,-0.10087002,-0.08501302,-0.47366172,-0.46180096,0.11749164,0.59614825,-0.32561406,0.74369025,0.8206468,-0.28024685,-0.5871566,-0.6061087,0.10226534,-0.49429035,-0.9022131,-0.64690244,0.014301919,-1.0,0.44613305,801.1054,820.8452,809.3303,791.23553
2016-05-10 18:17:09,-0.10285668,-0.5147685,-0.24248318,-0.018541824,-0.08501302,-0.54976493,-0.44534597,-0.06817094,0.59614825,-0.5450067,0.5623118,0.6492667,-0.28024685,-0.68793905,-0.85458684,-0.42482653,-0.49429035,-0.76168215,-0.68462896,-0.040436383,-1.0,0.27547276,713.92145,815.9103,802.7504,802.7504
2016-05-10 18:17:10,-0.10285668,-0.70538884,-0.41067976,-0.17510901,-0.08501302,-0.50360733,-0.4450671,-0.02714474,0.59614825,-0.35557637,0.26290607,0.20935227,-0.28024685,-0.7624547,-0.9196794,-0.3690972,-0.49429035,-0.8767945,-0.38388368,-0.010558116,-1.0,0.03684959,889.9344,809.3303,797.8155,801.1054
2016-05-10 18:17:11,-0.10285668,-0.47577175,-0.7660729,-0.124055564,-0.08501302,-0.045070466,-0.1170637,-0.0025053315,0.59614825,-0.3832321,0.9065513,0.56378555,-0.28024685,-0.8269527,-0.850657,-0.5678266,-0.49429035,-0.6764573,-0.0548999,-0.16546005,-1.0,-0.23381978,814.26526,825.78015,810.9753,797.8155
2016-05-10 18:17:12,-0.10285668,-0.44937646,-0.48463458,-0.07511082,-0.08501302,-0.28633127,-0.3427195,-0.17608346,0.59614825,-0.42497072,0.7338938,0.6744472,-0.28024685,-0.98524797,-1.129099,-0.6305367,-0.49429035,-0.64294726,-0.23185298,-0.3833012,-1.0,-0.59604514,801.1054,824.13513,804.3954,802.7504
2016-05-10 18:17:13,-0.10285668,-0.5724519,-0.40336236,0.0016846139,-0.08501302,-0.6821102,-0.67169327,-0.295823,0.59614825,-0.35349816,-0.75564975,0.29365176,-0.28024685,-1.0201674,-1.1523767,-0.6069285,-0.49429035,-0.8545239,-0.8366185,-0.42083454,-0.97958887,-0.8853956,792.88055,825.78015,807.68536,815.9103
2016-05-10 18:17:14,-0.10285668,-0.5440297,-0.67045206,-0.21651764,-0.08501302,-0.7369902,-0.88777554,-0.16922753,0.59614825,-0.5208262,-0.5038108,0.532559,-0.28024685,-1.0165472,-1.1161671,-0.54432374,-0.49429035,-0.6122974,-0.6688542,0.036992718,-1.0,-1.0,807.68536,817.55524,802.7504,794.5255
2016-05-10 18:17:15,-0.10285668,-0.44119027,-0.06940103,-0.18901291,-0.08501302,-0.7521903,-0.63093674,-0.30446622,0.59614825,-0.41415572,-0.2755318,0.64259726,-0.28024685,-1.0286577,-1.0363113,-0.6118132,-0.49429035,-0.44344053,-0.42587212,0.06265104,-1.0,-1.0,809.3303,817.55524,814.26526,797.8155
2016-05-10 18:17:16,0.06475531,-0.5899971,0.580939,0.19594409,-0.23890835,-0.6669819,0.07138816,-0.43182954,0.30074868,-0.5779704,0.63381714,0.23962061,-0.50517714,-1.0080827,-0.48644114,-0.64424163,0.4963612,-0.78249824,-0.28921598,-0.39577588,-0.9043693,-1.0,750.111,820.8452,834.005,822.4902
